sequence_number,ecn,ccy_pair,timestamp_ns,bid_price,bid_size,ask_price,ask_size
# ── EURUSD snapshot (5 levels) ──────────────────────────────────────────────
1,EBS,EURUSD,1742900400000000000,1.08758,6000,1.08772,5000
2,EBS,EURUSD,1742900400000100000,1.08748,10000,1.08782,9000
3,EBS,EURUSD,1742900400000200000,1.08738,14000,1.08792,12000
4,EBS,EURUSD,1742900400000300000,1.08728,18000,1.08802,16000
5,EBS,EURUSD,1742900400000400000,1.08718,22000,1.08812,20000
# ── USDJPY snapshot (5 levels) ──────────────────────────────────────────────
6,EBS,USDJPY,1742900400001000000,155.24500,4000,155.25500,3000
7,EBS,USDJPY,1742900400001100000,155.23500,7000,155.26500,6000
8,EBS,USDJPY,1742900400001200000,155.22500,10000,155.27500,9000
9,EBS,USDJPY,1742900400001300000,155.21500,13000,155.28500,12000
10,EBS,USDJPY,1742900400001400000,155.20500,16000,155.29500,15000
# ── USDCHF snapshot (5 levels) ──────────────────────────────────────────────
11,EBS,USDCHF,1742900400002000000,0.88640,3000,0.88660,3000
12,EBS,USDCHF,1742900400002100000,0.88630,5000,0.88670,5000
13,EBS,USDCHF,1742900400002200000,0.88620,8000,0.88680,7000
14,EBS,USDCHF,1742900400002300000,0.88610,10000,0.88690,9000
15,EBS,USDCHF,1742900400002400000,0.88600,13000,0.88700,12000
# ── Delta updates begin ─────────────────────────────────────────────────────
# +5ms — EURUSD fast tick, bid up
16,EBS,EURUSD,1742900400005000000,1.08762,6500,1.08772,5000
# +10ms — USDJPY level 1 ask tightens
17,EBS,USDJPY,1742900400010000000,155.24500,4000,155.25000,3500
# +18ms — USDCHF level 2 bid refreshed
18,EBS,USDCHF,1742900400018000000,0.88632,6000,0.88670,5000
# +25ms — EURUSD rapid burst (5 ticks in 200μs) — uptick
19,EBS,EURUSD,1742900400025000000,1.08764,6200,1.08773,4800
20,EBS,EURUSD,1742900400025050000,1.08766,6000,1.08774,4500
21,EBS,EURUSD,1742900400025100000,1.08768,5800,1.08775,4200
22,EBS,EURUSD,1742900400025150000,1.08770,5500,1.08776,4000
23,EBS,EURUSD,1742900400025200000,1.08772,5200,1.08778,3800
# +40ms — USDJPY level 5 bid pulled (delete)
24,EBS,USDJPY,1742900400040000000,155.20500,0,155.29500,15000
# +55ms — USDCHF top-of-book spread widens (bid drops)
25,EBS,USDCHF,1742900400055000000,0.88635,2500,0.88665,3500
# +72ms — EURUSD retraces, downtick burst (3 in 100μs)
26,EBS,EURUSD,1742900400072000000,1.08770,5500,1.08778,4000
27,EBS,EURUSD,1742900400072050000,1.08768,5800,1.08776,4200
28,EBS,EURUSD,1742900400072100000,1.08765,6000,1.08774,4500
# +90ms — USDJPY new level added where 5 was deleted
29,EBS,USDJPY,1742900400090000000,155.20000,8000,155.30000,7000
# +110ms — USDCHF levels 3-4 ask pulled (delete — thin book)
30,EBS,USDCHF,1742900400110000000,0.88620,8000,0.88680,0
31,EBS,USDCHF,1742900400112000000,0.88610,10000,0.88690,0
# +135ms — EURUSD level 4 size increase
32,EBS,EURUSD,1742900400135000000,1.08728,22000,1.08802,20000
# +160ms — USDJPY downtick, yen weakens
33,EBS,USDJPY,1742900400160000000,155.25000,4500,155.26000,3200
34,EBS,USDJPY,1742900400162000000,155.25500,4800,155.26500,3000
# +185ms — USDCHF asks re-appear (book rebuilds)
35,EBS,USDCHF,1742900400185000000,0.88622,8000,0.88678,6000
36,EBS,USDCHF,1742900400187000000,0.88612,10000,0.88688,8000
# +215ms — EURUSD level 3 bid pulled (delete)
37,EBS,EURUSD,1742900400215000000,1.08738,0,1.08792,12000
# +240ms — USDJPY spread widens event (volatility spike)
38,EBS,USDJPY,1742900400240000000,155.23000,2000,155.28000,1500
39,EBS,USDJPY,1742900400242000000,155.22000,3000,155.29000,2000
40,EBS,USDJPY,1742900400244000000,155.21000,4000,155.30000,2500
# +270ms — EURUSD new level 3 after deletion
41,EBS,EURUSD,1742900400270000000,1.08736,11000,1.08794,10000
# +295ms — USDCHF level 1 bid improves
42,EBS,USDCHF,1742900400295000000,0.88645,3500,0.88660,3000
# +320ms — USDJPY volatility settles, spread normalises
43,EBS,USDJPY,1742900400320000000,155.24800,4200,155.25800,3200
44,EBS,USDJPY,1742900400322000000,155.24000,7000,155.26000,6000
45,EBS,USDJPY,1742900400324000000,155.23000,10000,155.27000,9000
# +350ms — EURUSD top-of-book, size refreshed
46,EBS,EURUSD,1742900400350000000,1.08760,7000,1.08772,5500
# +380ms — USDCHF level 5 both sides refreshed
47,EBS,USDCHF,1742900400380000000,0.88600,14000,0.88700,13000
# +410ms — USDJPY level 2 ask deleted
48,EBS,USDJPY,1742900400410000000,155.23500,7000,155.26500,0
# +440ms — EURUSD rapid downtick (3 in 100μs)
49,EBS,EURUSD,1742900400440000000,1.08755,7200,1.08768,5800
50,EBS,EURUSD,1742900400440050000,1.08752,7500,1.08765,6000
51,EBS,EURUSD,1742900400440100000,1.08750,7800,1.08763,6200
# +470ms — USDJPY level 2 ask restored
52,EBS,USDJPY,1742900400470000000,155.23500,7000,155.26200,5500
# +500ms — USDCHF level 1 bid drops, ask widens
53,EBS,USDCHF,1742900400500000000,0.88630,2500,0.88670,2500
# +530ms — EURUSD level 5 ask pulled (delete)
54,EBS,EURUSD,1742900400530000000,1.08718,22000,1.08812,0
# +560ms — USDJPY uptick
55,EBS,USDJPY,1742900400560000000,155.26000,4000,155.27000,3000
# +590ms — EURUSD level 5 ask restored
56,EBS,EURUSD,1742900400590000000,1.08718,22000,1.08815,19000
# +620ms — USDCHF rapid 3-tick downtick (100μs apart)
57,EBS,USDCHF,1742900400620000000,0.88625,2800,0.88655,3200
58,EBS,USDCHF,1742900400620050000,0.88620,3000,0.88652,3500
59,EBS,USDCHF,1742900400620100000,0.88618,3200,0.88650,3800
# +655ms — USDJPY level 4 bid deleted
60,EBS,USDJPY,1742900400655000000,155.21500,0,155.28500,12000
# +690ms — EURUSD settling, level 1 stable
61,EBS,EURUSD,1742900400690000000,1.08758,6000,1.08770,5000
# +720ms — USDCHF all 5 levels refreshed (re-snapshot)
62,EBS,USDCHF,1742900400720000000,0.88640,3000,0.88660,3000
63,EBS,USDCHF,1742900400720100000,0.88630,5000,0.88670,5000
64,EBS,USDCHF,1742900400720200000,0.88620,8000,0.88680,7000
65,EBS,USDCHF,1742900400720300000,0.88610,10000,0.88690,9000
66,EBS,USDCHF,1742900400720400000,0.88600,13000,0.88700,12000
# +755ms — USDJPY new level 4 after deletion
67,EBS,USDJPY,1742900400755000000,155.21800,6000,155.28200,5500
# +790ms — EURUSD final ticks
68,EBS,EURUSD,1742900400790000000,1.08762,5500,1.08771,4500
69,EBS,EURUSD,1742900400790050000,1.08760,5800,1.08770,4800
# +825ms — USDJPY final update
70,EBS,USDJPY,1742900400825000000,155.25000,4000,155.26000,3000
# +860ms — USDCHF final update
71,EBS,USDCHF,1742900400860000000,0.88642,3200,0.88658,3000
# ── Seconds 1–5: extended stream with conflation-triggering bursts ───────────
# +1000ms — book refresh
72,EBS,EURUSD,1742900401000000000,1.08760,6000,1.08772,5000
73,EBS,USDJPY,1742900401018000000,155.25000,4000,155.26000,3000
74,EBS,USDCHF,1742900401035000000,0.88642,3200,0.88658,3100
# +1180ms — EURUSD uptick burst: 7 ticks in 7ms
75,EBS,EURUSD,1742900401180000000,1.08762,6200,1.08774,4900
76,EBS,EURUSD,1742900401181000000,1.08764,6400,1.08776,4700
77,EBS,EURUSD,1742900401182000000,1.08766,6600,1.08778,4500
78,EBS,EURUSD,1742900401183000000,1.08768,6800,1.08780,4300
79,EBS,EURUSD,1742900401184000000,1.08770,7000,1.08782,4100
80,EBS,EURUSD,1742900401185000000,1.08772,7200,1.08784,3900
81,EBS,EURUSD,1742900401186000000,1.08774,7400,1.08786,3700
# +1210ms — quiet
82,EBS,USDJPY,1742900401210000000,155.25200,3800,155.26200,2900
83,EBS,USDCHF,1742900401245000000,0.88644,3100,0.88660,3000
84,EBS,EURUSD,1742900401290000000,1.08773,7200,1.08785,3800
85,EBS,USDJPY,1742900401340000000,155.25300,3700,155.26300,2800
# +1550ms — USDJPY uptick burst: 6 ticks in 6ms
86,EBS,USDJPY,1742900401550000000,155.25600,3900,155.26600,2700
87,EBS,USDJPY,1742900401551000000,155.25900,4100,155.26900,2600
88,EBS,USDJPY,1742900401552000000,155.26200,4300,155.27200,2500
89,EBS,USDJPY,1742900401553000000,155.26500,4500,155.27500,2400
90,EBS,USDJPY,1742900401554000000,155.26800,4700,155.27800,2300
91,EBS,USDJPY,1742900401555000000,155.27100,4900,155.28100,2200
# +1580ms — quiet
92,EBS,EURUSD,1742900401580000000,1.08774,7000,1.08786,3900
93,EBS,USDCHF,1742900401615000000,0.88645,3000,0.88661,2900
94,EBS,EURUSD,1742900401670000000,1.08775,6900,1.08787,4000
95,EBS,USDJPY,1742900401720000000,155.27000,4800,155.28000,2200
# +1950ms — USDCHF downtick burst: 5 ticks in 5ms
96,EBS,USDCHF,1742900401950000000,0.88641,2900,0.88657,3100
97,EBS,USDCHF,1742900401951000000,0.88638,2700,0.88654,3200
98,EBS,USDCHF,1742900401952000000,0.88635,2500,0.88651,3300
99,EBS,USDCHF,1742900401953000000,0.88632,2300,0.88648,3400
100,EBS,USDCHF,1742900401954000000,0.88629,2100,0.88645,3500
# +1980ms — quiet
101,EBS,EURUSD,1742900401980000000,1.08776,6800,1.08788,4100
102,EBS,USDJPY,1742900402010000000,155.27200,4700,155.28200,2200
103,EBS,EURUSD,1742900402060000000,1.08777,6700,1.08789,4200
104,EBS,USDCHF,1742900402110000000,0.88630,2200,0.88646,3400
# +2350ms — EURUSD uptick burst: 8 ticks in 8ms (volatility spike)
105,EBS,EURUSD,1742900402350000000,1.08780,6900,1.08792,5500
106,EBS,EURUSD,1742900402351000000,1.08782,7100,1.08794,5300
107,EBS,EURUSD,1742900402352000000,1.08784,7300,1.08796,5100
108,EBS,EURUSD,1742900402353000000,1.08786,7500,1.08798,4900
109,EBS,EURUSD,1742900402354000000,1.08788,7700,1.08800,4700
110,EBS,EURUSD,1742900402355000000,1.08790,7900,1.08802,4500
111,EBS,EURUSD,1742900402356000000,1.08792,8100,1.08804,4300
112,EBS,EURUSD,1742900402357000000,1.08794,8300,1.08806,4100
# +2380ms — quiet
113,EBS,USDJPY,1742900402380000000,155.27500,4600,155.28500,2100
114,EBS,USDCHF,1742900402415000000,0.88631,2300,0.88647,3300
115,EBS,EURUSD,1742900402470000000,1.08793,8100,1.08805,4200
116,EBS,USDJPY,1742900402520000000,155.27700,4500,155.28700,2100
# +2750ms — USDJPY downtick burst: 6 ticks in 6ms (yen strengthens)
117,EBS,USDJPY,1742900402750000000,155.27300,4300,155.28300,2200
118,EBS,USDJPY,1742900402751000000,155.26900,4100,155.27900,2300
119,EBS,USDJPY,1742900402752000000,155.26500,3900,155.27500,2400
120,EBS,USDJPY,1742900402753000000,155.26100,3700,155.27100,2500
121,EBS,USDJPY,1742900402754000000,155.25700,3500,155.26700,2600
122,EBS,USDJPY,1742900402755000000,155.25300,3300,155.26300,2700
# +2780ms — quiet
123,EBS,EURUSD,1742900402780000000,1.08793,7900,1.08805,4300
124,EBS,USDCHF,1742900402815000000,0.88632,2400,0.88648,3200
125,EBS,EURUSD,1742900402875000000,1.08794,7800,1.08806,4400
126,EBS,USDJPY,1742900402930000000,155.25500,3400,155.26500,2600
# +3150ms — EURUSD downtick burst: 7 ticks in 7ms (pullback)
127,EBS,EURUSD,1742900403150000000,1.08791,7600,1.08803,4600
128,EBS,EURUSD,1742900403151000000,1.08789,7300,1.08801,4800
129,EBS,EURUSD,1742900403152000000,1.08787,7000,1.08799,5000
130,EBS,EURUSD,1742900403153000000,1.08785,6700,1.08797,5200
131,EBS,EURUSD,1742900403154000000,1.08783,6400,1.08795,5400
132,EBS,EURUSD,1742900403155000000,1.08781,6100,1.08793,5600
133,EBS,EURUSD,1742900403156000000,1.08779,5800,1.08791,5800
# +3180ms — quiet
134,EBS,USDJPY,1742900403180000000,155.25600,3500,155.26600,2500
135,EBS,USDCHF,1742900403220000000,0.88634,2500,0.88650,3100
136,EBS,EURUSD,1742900403280000000,1.08780,6000,1.08792,5700
137,EBS,USDJPY,1742900403340000000,155.25700,3600,155.26700,2500
# +3550ms — USDCHF uptick burst: 6 ticks in 6ms
138,EBS,USDCHF,1742900403550000000,0.88637,2600,0.88653,3000
139,EBS,USDCHF,1742900403551000000,0.88640,2800,0.88656,2900
140,EBS,USDCHF,1742900403552000000,0.88643,3000,0.88659,2800
141,EBS,USDCHF,1742900403553000000,0.88646,3200,0.88662,2700
142,EBS,USDCHF,1742900403554000000,0.88649,3400,0.88665,2600
143,EBS,USDCHF,1742900403555000000,0.88652,3600,0.88668,2500
# +3580ms — quiet
144,EBS,EURUSD,1742900403580000000,1.08781,6100,1.08793,5600
145,EBS,USDJPY,1742900403620000000,155.25900,3700,155.26900,2400
146,EBS,EURUSD,1742900403690000000,1.08782,6200,1.08794,5500
147,EBS,USDCHF,1742900403740000000,0.88651,3500,0.88667,2500
# +3950ms — EURUSD uptick burst: 8 ticks in 8ms
148,EBS,EURUSD,1742900403950000000,1.08784,6400,1.08796,5300
149,EBS,EURUSD,1742900403951000000,1.08786,6600,1.08798,5100
150,EBS,EURUSD,1742900403952000000,1.08788,6800,1.08800,4900
151,EBS,EURUSD,1742900403953000000,1.08790,7000,1.08802,4700
152,EBS,EURUSD,1742900403954000000,1.08792,7200,1.08804,4500
153,EBS,EURUSD,1742900403955000000,1.08794,7400,1.08806,4300
154,EBS,EURUSD,1742900403956000000,1.08796,7600,1.08808,4100
155,EBS,EURUSD,1742900403957000000,1.08798,7800,1.08810,3900
# +3985ms — quiet
156,EBS,USDJPY,1742900403985000000,155.26100,3800,155.27100,2400
157,EBS,USDCHF,1742900404025000000,0.88652,3400,0.88668,2500
158,EBS,EURUSD,1742900404090000000,1.08797,7600,1.08809,4000
159,EBS,USDJPY,1742900404150000000,155.26300,3900,155.27300,2300
# +4350ms — USDJPY uptick burst: 6 ticks in 6ms
160,EBS,USDJPY,1742900404350000000,155.26600,3900,155.27600,2200
161,EBS,USDJPY,1742900404351000000,155.27000,4200,155.28000,2100
162,EBS,USDJPY,1742900404352000000,155.27300,4400,155.28300,2000
163,EBS,USDJPY,1742900404353000000,155.27600,4600,155.28600,1900
164,EBS,USDJPY,1742900404354000000,155.27900,4800,155.28900,1800
165,EBS,USDJPY,1742900404355000000,155.28200,5000,155.29200,1700
# +4380ms — quiet
166,EBS,EURUSD,1742900404380000000,1.08797,7400,1.08809,4100
167,EBS,USDCHF,1742900404420000000,0.88653,3300,0.88669,2500
168,EBS,EURUSD,1742900404490000000,1.08797,7300,1.08809,4200
169,EBS,USDJPY,1742900404545000000,155.28000,4900,155.29000,1700
# +4750ms — EURUSD downtick burst: 7 ticks in 7ms
170,EBS,EURUSD,1742900404750000000,1.08795,7100,1.08807,4400
171,EBS,EURUSD,1742900404751000000,1.08793,6800,1.08805,4600
172,EBS,EURUSD,1742900404752000000,1.08791,6500,1.08803,4800
173,EBS,EURUSD,1742900404753000000,1.08789,6200,1.08801,5000
174,EBS,EURUSD,1742900404754000000,1.08787,5900,1.08799,5200
175,EBS,EURUSD,1742900404755000000,1.08785,5600,1.08797,5400
176,EBS,EURUSD,1742900404756000000,1.08783,5300,1.08795,5600
# +4790ms — final settling
