sequence_number,ecn,ccy_pair,timestamp_ns,bid_price,bid_size,ask_price,ask_size
# ── GBPUSD snapshot (5 levels) ──────────────────────────────────────────────
1,FENICS,GBPUSD,1742900400000000000,1.27345,4000,1.27375,3500
2,FENICS,GBPUSD,1742900400001000000,1.27335,7000,1.27385,6000
3,FENICS,GBPUSD,1742900400002000000,1.27325,10000,1.27395,9000
4,FENICS,GBPUSD,1742900400003000000,1.27315,13000,1.27405,12000
5,FENICS,GBPUSD,1742900400004000000,1.27305,16000,1.27415,15000
# ── AUDUSD snapshot (5 levels) ──────────────────────────────────────────────
6,FENICS,AUDUSD,1742900400010000000,0.65775,3000,0.65795,2500
7,FENICS,AUDUSD,1742900400011000000,0.65765,5000,0.65805,4500
8,FENICS,AUDUSD,1742900400012000000,0.65755,8000,0.65815,7000
9,FENICS,AUDUSD,1742900400013000000,0.65745,10000,0.65825,9000
10,FENICS,AUDUSD,1742900400014000000,0.65735,13000,0.65835,12000
# ── NZDUSD snapshot (5 levels) ──────────────────────────────────────────────
11,FENICS,NZDUSD,1742900400020000000,0.60115,2000,0.60135,1800
12,FENICS,NZDUSD,1742900400021000000,0.60105,4000,0.60145,3500
13,FENICS,NZDUSD,1742900400022000000,0.60095,6000,0.60155,5500
14,FENICS,NZDUSD,1742900400023000000,0.60085,8000,0.60165,7500
15,FENICS,NZDUSD,1742900400024000000,0.60075,10000,0.60175,9500
# ── Delta updates begin ─────────────────────────────────────────────────────
# t+0.8s — GBPUSD top bid improves
16,FENICS,GBPUSD,1742900400800000000,1.27348,4200,1.27375,3500
# t+1.5s — AUDUSD level 1 ask tightens
17,FENICS,AUDUSD,1742900401500000000,0.65775,3000,0.65792,2800
# t+3.0s — NZDUSD level 2 size increase
18,FENICS,NZDUSD,1742900403000000000,0.60105,5500,0.60145,5000
# t+5.0s — GBPUSD level 3 both sides pulled (delete — thin book event)
19,FENICS,GBPUSD,1742900405000000000,1.27325,0,1.27395,0
# t+8.0s — AUDUSD downtick burst (3 in 3ms)
20,FENICS,AUDUSD,1742900408000000000,0.65772,2800,0.65790,2600
21,FENICS,AUDUSD,1742900408001000000,0.65770,2600,0.65788,2800
22,FENICS,AUDUSD,1742900408003000000,0.65768,2400,0.65786,3000
# t+12s — NZDUSD level 5 ask deleted
23,FENICS,NZDUSD,1742900412000000000,0.60075,10000,0.60175,0
# t+15s — GBPUSD level 3 restored after deletion
24,FENICS,GBPUSD,1742900415000000000,1.27328,6000,1.27392,5000
# t+20s — AUDUSD level 4 bid deleted
25,FENICS,AUDUSD,1742900420000000000,0.65745,0,0.65825,9000
# t+25s — NZDUSD uptick, mid moves higher
26,FENICS,NZDUSD,1742900425000000000,0.60118,2200,0.60138,2000
27,FENICS,NZDUSD,1742900425500000000,0.60120,2500,0.60140,2200
# t+32s — GBPUSD level 1 ask size doubles (large order)
28,FENICS,GBPUSD,1742900432000000000,1.27348,4200,1.27375,7000
# t+38s — AUDUSD level 4 restored
29,FENICS,AUDUSD,1742900438000000000,0.65748,6000,0.65822,5000
# t+45s — NZDUSD level 5 ask restored
30,FENICS,NZDUSD,1742900445000000000,0.60075,10000,0.60178,8000
# t+50s — GBPUSD rapid downtick burst (4 in 6ms)
31,FENICS,GBPUSD,1742900450000000000,1.27345,3800,1.27372,3200
32,FENICS,GBPUSD,1742900450002000000,1.27342,3500,1.27370,3400
33,FENICS,GBPUSD,1742900450004000000,1.27340,3200,1.27368,3600
34,FENICS,GBPUSD,1742900450006000000,1.27338,3000,1.27365,3800
# t+58s — AUDUSD level 2 ask deleted
35,FENICS,AUDUSD,1742900458000000000,0.65765,5000,0.65805,0
# t+62s — NZDUSD level 4 bid size shrinks
36,FENICS,NZDUSD,1742900462000000000,0.60085,3000,0.60165,7500
# t+68s — GBPUSD book thins — levels 4 and 5 bid pulled
37,FENICS,GBPUSD,1742900468000000000,1.27315,0,1.27405,12000
38,FENICS,GBPUSD,1742900468200000000,1.27305,0,1.27415,15000
# t+72s — AUDUSD level 2 ask restored
39,FENICS,AUDUSD,1742900472000000000,0.65765,5000,0.65808,4000
# ── SEQUENCE GAP: seq 71 intentionally skipped (lost datagram) ──────────────
# t+78s — NZDUSD level 1 bid improves
